date,demographic,product,sales_amount,profit_margin,comment,cluster,cluster_text_aug
2024-06-03,Young adults,DR Pepper Classic,3.3,0.196,Enjoyed with lunch.,1,1
2021-07-13,Young adults,Diet DR Pepper,2.74,0.165,Perfect for parties.,3,1
2021-03-23,Young adults,Cherry DR Pepper,2.44,0.194,Packaging was damaged.,1,1
2020-03-04,Young adults,DR Pepper Classic,3.62,0.169,Okay but not my favorite.,1,1
2020-07-07,Young adults,DR Pepper Classic,3.52,0.161,Okay but not my favorite.,1,1
2021-01-04,Middle-aged,DR Pepper Zero Sugar,3.96,0.197,Perfect for parties.,0,3
2020-01-30,Young adults,DR Pepper Classic,4.43,0.187,"Loved the taste, will buy again.",1,1
2020-04-05,Young adults,DR Pepper Classic,3.84,0.219,"Loved the taste, will buy again.",1,1
2023-11-18,Middle-aged,DR Pepper Classic,3.78,0.185,Bought for family gathering.,1,1
2023-05-06,Middle-aged,DR Pepper Classic,3.09,0.142,Enjoyed with lunch.,1,1
2018-10-01,Young adults,DR Pepper Zero Sugar,3.09,0.174,Enjoyed with lunch.,0,0
2024-06-03,Young adults,Diet DR Pepper,3.14,0.188,Okay but not my favorite.,3,1
2018-07-31,Middle-aged,DR Pepper Classic,3.57,0.205,Enjoyed with lunch.,1,1
2020-08-13,Middle-aged,DR Pepper Classic,3.12,0.192,Enjoyed with lunch.,1,1
2024-05-25,Teens,DR Pepper Classic,3.71,0.178,Enjoyed with lunch.,2,2
2024-03-06,Young adults,Diet DR Pepper,2.52,0.189,Enjoyed with lunch.,3,1
2022-05-14,Seniors,DR Pepper Zero Sugar,4.52,0.188,Packaging was damaged.,0,3
2019-11-28,Young adults,DR Pepper Classic,4.22,0.125,Packaging was damaged.,1,1
2024-10-29,Middle-aged,Cherry DR Pepper,4.36,0.195,Packaging was damaged.,1,1
2024-02-17,Teens,DR Pepper Zero Sugar,2.36,0.146,Too sweet for me.,0,3
2022-08-30,Middle-aged,DR Pepper Classic,2.69,0.251,Packaging was damaged.,1,1
2019-08-20,Middle-aged,Diet DR Pepper,3.34,0.197,Okay but not my favorite.,3,1
2024-05-09,Teens,DR Pepper Classic,3.35,0.13,Okay but not my favorite.,2,2
2018-10-16,Young adults,DR Pepper Classic,4.42,0.158,Too sweet for me.,1,1
2024-02-18,Teens,DR Pepper Zero Sugar,3.31,0.179,Bought for family gathering.,2,3
2018-09-23,Middle-aged,Diet DR Pepper,3.18,0.183,Okay but not my favorite.,3,1
2020-04-15,Middle-aged,Diet DR Pepper,3.94,0.174,Great value for money.,3,1
2024-04-09,Young adults,Cherry DR Pepper,3.79,0.208,Enjoyed with lunch.,1,1
2019-11-09,Young adults,DR Pepper Classic,3.61,0.192,Great value for money.,1,1
2020-09-18,Young adults,Cherry DR Pepper,4.22,0.173,Perfect for parties.,1,1
2019-11-12,Teens,DR Pepper Classic,3.16,0.11,Okay but not my favorite.,2,2
2024-03-09,Young adults,DR Pepper Zero Sugar,3.51,0.197,"Loved the taste, will buy again.",0,0
2019-12-02,Teens,DR Pepper Classic,3.78,0.175,Perfect for parties.,2,2
2020-06-29,Teens,DR Pepper Zero Sugar,2.54,0.121,Prefer sugar-free.,2,3
2020-03-30,Seniors,DR Pepper Classic,4.48,0.181,Okay but not my favorite.,1,1
2023-08-18,Young adults,Cherry DR Pepper,3.47,0.177,Prefer sugar-free.,1,1
2022-01-03,Young adults,DR Pepper Classic,2.68,0.153,Okay but not my favorite.,1,1
2022-06-22,Middle-aged,DR Pepper Classic,3.11,0.187,Packaging was damaged.,1,1
2019-08-09,Young adults,Cherry DR Pepper,3.18,0.179,Perfect for parties.,1,1
2018-03-19,Young adults,DR Pepper Classic,3.6,0.14,"Loved the taste, will buy again.",1,1
2020-06-10,Teens,Cherry DR Pepper,4.51,0.167,Okay but not my favorite.,2,2
2023-04-17,Young adults,Cherry DR Pepper,3.82,0.159,Great value for money.,1,1
2023-08-06,Young adults,DR Pepper Classic,4.29,0.16,Okay but not my favorite.,1,1
2023-10-11,Young adults,DR Pepper Classic,4.03,0.195,Perfect for parties.,1,1
2021-03-04,Teens,Diet DR Pepper,1.87,0.136,Too sweet for me.,3,2
2024-10-11,Young adults,Cherry DR Pepper,4.15,0.174,Perfect for parties.,1,1
2024-12-05,Middle-aged,Diet DR Pepper,2.91,0.197,Packaging was damaged.,3,1
2020-04-09,Teens,Cherry DR Pepper,3.96,0.127,Okay but not my favorite.,2,2
2022-10-31,Teens,DR Pepper Classic,3.47,0.134,Not satisfied with carbonation.,2,2
2020-12-27,Teens,DR Pepper Classic,4.89,0.149,Great value for money.,2,2
2022-01-25,Middle-aged,DR Pepper Classic,3.72,0.2,Prefer sugar-free.,1,1
2020-02-04,Middle-aged,DR Pepper Classic,3.79,0.216,Bought for family gathering.,1,1
2024-11-06,Teens,DR Pepper Classic,4.04,0.167,Prefer sugar-free.,2,2
2018-01-17,Middle-aged,Diet DR Pepper,2.46,0.237,Okay but not my favorite.,3,1
2018-06-01,Middle-aged,DR Pepper Zero Sugar,3.54,0.155,Too sweet for me.,0,3
2019-04-06,Young adults,DR Pepper Classic,3.39,0.207,"Loved the taste, will buy again.",1,1
2018-09-05,Young adults,Cherry DR Pepper,3.35,0.17,Bought for family gathering.,1,1
2024-01-14,Young adults,DR Pepper Classic,3.91,0.2,Not satisfied with carbonation.,1,1
2019-08-23,Seniors,DR Pepper Classic,2.76,0.18,Enjoyed with lunch.,1,1
2018-04-08,Seniors,DR Pepper Classic,3.97,0.153,Great value for money.,1,1
2021-01-06,Middle-aged,DR Pepper Zero Sugar,2.92,0.246,Too sweet for me.,0,3
2019-06-23,Young adults,Cherry DR Pepper,3.65,0.203,Enjoyed with lunch.,1,1
2018-10-23,Young adults,DR Pepper Classic,2.38,0.193,Packaging was damaged.,1,1
2023-04-13,Seniors,DR Pepper Zero Sugar,3.45,0.236,Bought for family gathering.,0,3
2024-09-13,Middle-aged,DR Pepper Classic,3.62,0.171,Too sweet for me.,1,1
2023-08-23,Young adults,DR Pepper Classic,3.27,0.181,Enjoyed with lunch.,1,1
2019-03-14,Middle-aged,DR Pepper Classic,3.04,0.217,Okay but not my favorite.,1,1
2021-11-23,Young adults,DR Pepper Classic,3.89,0.148,Okay but not my favorite.,1,1
2023-07-13,Young adults,DR Pepper Classic,3.67,0.16,Prefer sugar-free.,1,1
2019-10-27,Middle-aged,DR Pepper Zero Sugar,3.0,0.23,Great value for money.,0,3
2024-09-13,Young adults,DR Pepper Classic,3.01,0.165,Too sweet for me.,1,1
2024-08-18,Young adults,DR Pepper Classic,3.65,0.206,Great value for money.,1,1
2020-09-30,Young adults,Diet DR Pepper,3.32,0.161,Bought for family gathering.,3,1
2019-07-13,Teens,DR Pepper Classic,4.16,0.211,Perfect for parties.,2,2
2024-12-07,Young adults,Cherry DR Pepper,3.1,0.11,Perfect for parties.,1,1
2024-09-30,Young adults,Cherry DR Pepper,3.34,0.21,Perfect for parties.,1,1
2021-01-12,Young adults,DR Pepper Classic,4.47,0.188,Not satisfied with carbonation.,1,1
2019-10-28,Young adults,DR Pepper Classic,3.6,0.134,Enjoyed with lunch.,1,1
2019-04-28,Young adults,DR Pepper Classic,3.63,0.173,"Loved the taste, will buy again.",1,1
2020-04-18,Seniors,DR Pepper Zero Sugar,3.48,0.112,Okay but not my favorite.,0,3
2023-05-19,Young adults,DR Pepper Classic,4.41,0.191,Packaging was damaged.,1,1
2018-04-16,Young adults,DR Pepper Classic,2.92,0.162,Great value for money.,1,1
2021-05-17,Seniors,Cherry DR Pepper,4.79,0.112,Okay but not my favorite.,1,1
2022-09-03,Teens,DR Pepper Zero Sugar,2.98,0.155,Too sweet for me.,2,3
2020-03-01,Middle-aged,Diet DR Pepper,3.33,0.204,Packaging was damaged.,3,1
2020-03-22,Teens,DR Pepper Zero Sugar,3.03,0.213,Okay but not my favorite.,0,3
2020-04-29,Middle-aged,DR Pepper Classic,4.25,0.225,Perfect for parties.,1,1
2018-06-19,Young adults,DR Pepper Classic,3.98,0.108,Okay but not my favorite.,1,1
